_____________________________________state_______________________________________
alpha, 
1: [Product: 10, Recipe: A, Step: 1]
2: [Product: 10, Recipe: A, Step: 1]
3: [Product: 10, Recipe: A, Step: 1]
4: [Product: 10, Recipe: A, Step: 1]
5: [Product: 19, Recipe: A, Step: 1]
6: [Product: 19, Recipe: A, Step: 1]
7: [Product: 19, Recipe: A, Step: 1]
8: [Product: 19, Recipe: A, Step: 1]
9: [Product: 20, Recipe: A, Step: 1]
10: [Product: 20, Recipe: A, Step: 1]
11: [Product: 20, Recipe: A, Step: 1]
12: [Product: 20, Recipe: A, Step: 1]
13: [Product: 15, Recipe: A, Step: 1]
14: [Product: 15, Recipe: A, Step: 1]
15: [Product: 15, Recipe: A, Step: 1]
16: [Product: 15, Recipe: A, Step: 1]
17: [Product: 9, Recipe: A, Step: 1]
18: [Product: 9, Recipe: A, Step: 1]
19: [Product: 9, Recipe: A, Step: 1]
20: [Product: 9, Recipe: A, Step: 1]
21: [Product: 16, Recipe: A, Step: 1]
22: [Product: 16, Recipe: A, Step: 1]
23: [Product: 16, Recipe: A, Step: 1]
24: [Product: 16, Recipe: A, Step: 1]
25: [Product: 8, Recipe: A, Step: 1]
26: [Product: 8, Recipe: A, Step: 1]
27: [Product: 8, Recipe: A, Step: 1]
28: [Product: 8, Recipe: A, Step: 1]
29: [switch]
30: [Product: 9, Recipe: E, Step: 2]
31: [Product: 9, Recipe: E, Step: 2]
32: [Product: 9, Recipe: E, Step: 2]
33: [Product: 9, Recipe: E, Step: 2]
34: [Product: 9, Recipe: E, Step: 2]
35: [Product: 9, Recipe: E, Step: 2]
36: [Product: 4, Recipe: E, Step: 3]
37: [Product: 4, Recipe: E, Step: 3]
38: [Product: 4, Recipe: E, Step: 3]
39: [Product: 4, Recipe: E, Step: 3]
40: [Product: 4, Recipe: E, Step: 3]
41: [Product: 4, Recipe: E, Step: 3]
42: [Product: 17, Recipe: E, Step: 2]
43: [Product: 17, Recipe: E, Step: 2]
44: [Product: 17, Recipe: E, Step: 2]
45: [Product: 17, Recipe: E, Step: 2]
46: [Product: 17, Recipe: E, Step: 2]
47: [Product: 17, Recipe: E, Step: 2]
48: [Product: 16, Recipe: E, Step: 2]
49: [Product: 16, Recipe: E, Step: 2]
50: [Product: 16, Recipe: E, Step: 2]
51: [Product: 16, Recipe: E, Step: 2]
52: [Product: 16, Recipe: E, Step: 2]
53: [Product: 16, Recipe: E, Step: 2]
54: [Product: 19, Recipe: E, Step: 3]
55: [Product: 19, Recipe: E, Step: 3]
56: [Product: 19, Recipe: E, Step: 3]
57: [Product: 19, Recipe: E, Step: 3]
58: [Product: 19, Recipe: E, Step: 3]
59: [Product: 19, Recipe: E, Step: 3]
60: [Product: 15, Recipe: E, Step: 3]
61: [Product: 15, Recipe: E, Step: 3]
62: [Product: 15, Recipe: E, Step: 3]
63: [Product: 15, Recipe: E, Step: 3]
64: [Product: 15, Recipe: E, Step: 3]
65: [Product: 15, Recipe: E, Step: 3]
66: [Product: 8, Recipe: E, Step: 2]
67: [Product: 8, Recipe: E, Step: 2]
68: [Product: 8, Recipe: E, Step: 2]
69: [Product: 8, Recipe: E, Step: 2]
70: [Product: 8, Recipe: E, Step: 2]
71: [Product: 8, Recipe: E, Step: 2]
72: [Product: 9, Recipe: E, Step: 3]
73: [Product: 9, Recipe: E, Step: 3]
74: [Product: 9, Recipe: E, Step: 3]
75: [Product: 9, Recipe: E, Step: 3]
76: [Product: 9, Recipe: E, Step: 3]
77: [Product: 9, Recipe: E, Step: 3]
78: [Product: 1, Recipe: E, Step: 3]
79: [Product: 1, Recipe: E, Step: 3]
80: [Product: 1, Recipe: E, Step: 3]
81: [Product: 1, Recipe: E, Step: 3]
82: [Product: 1, Recipe: E, Step: 3]
83: [Product: 1, Recipe: E, Step: 3]
84: [Product: 22, Recipe: E, Step: 2]
85: [Product: 22, Recipe: E, Step: 2]
86: [Product: 22, Recipe: E, Step: 2]
87: [Product: 22, Recipe: E, Step: 2]
88: [Product: 22, Recipe: E, Step: 2]
89: [Product: 22, Recipe: E, Step: 2]
90: [Product: 18, Recipe: E, Step: 3]
91: [Product: 18, Recipe: E, Step: 3]
92: [Product: 18, Recipe: E, Step: 3]
93: [Product: 18, Recipe: E, Step: 3]
94: [Product: 18, Recipe: E, Step: 3]
95: [Product: 18, Recipe: E, Step: 3]
96: [Product: 7, Recipe: E, Step: 3]
97: [Product: 7, Recipe: E, Step: 3]
98: [Product: 7, Recipe: E, Step: 3]
99: [Product: 7, Recipe: E, Step: 3]
100: [Product: 7, Recipe: E, Step: 3]
101: [Product: 7, Recipe: E, Step: 3]
102: [Product: 21, Recipe: E, Step: 3]
103: [Product: 21, Recipe: E, Step: 3]
104: [Product: 21, Recipe: E, Step: 3]
105: [Product: 21, Recipe: E, Step: 3]
106: [Product: 21, Recipe: E, Step: 3]
107: [Product: 21, Recipe: E, Step: 3]
108: [Product: 6, Recipe: E, Step: 3]
109: [Product: 6, Recipe: E, Step: 3]
110: [Product: 6, Recipe: E, Step: 3]
111: [Product: 6, Recipe: E, Step: 3]
112: [Product: 6, Recipe: E, Step: 3]
113: [Product: 6, Recipe: E, Step: 3]
114: [Product: 12, Recipe: E, Step: 3]
115: [Product: 12, Recipe: E, Step: 3]
116: [Product: 12, Recipe: E, Step: 3]
117: [Product: 12, Recipe: E, Step: 3]
118: [Product: 12, Recipe: E, Step: 3]
119: [Product: 12, Recipe: E, Step: 3]
120: [Product: 2, Recipe: E, Step: 3]
121: [Product: 2, Recipe: E, Step: 3]
122: [Product: 2, Recipe: E, Step: 3]
123: [Product: 2, Recipe: E, Step: 3]
124: [Product: 2, Recipe: E, Step: 3]
